xgf,gf,xga,ga,team
51.91,55,57.26,64,VAN
47.26,48,48.8,72,OTT
41.46,46,48.44,48,WIN
48.23,53,48.19,55,EDM
41.43,43,48.02,47,CHI
42.87,43,47.8,51,ANA
48.57,57,46.06,39,TOR
40.55,49,45.3,57,CBJ
38.5,40,44.88,53,DET
41.08,39,43.25,45,ARI
46.43,44,41.41,36,CAR
43.71,45,41.17,46,CGY
34.22,37,40.84,40,LAK
37.71,26,40.68,51,BUF
38.4,47,40.29,46,PIT
40.43,51,40.25,48,STL
38.14,42,40.22,57,SJS
44.36,50,38.44,37,NYI
37.71,42,38.16,40,NYR
33.91,49,37.97,44,PHI
38.75,52,37.44,46,WSH
40.16,34,37.26,46,NSH
38.89,44,37.17,28,TBL
38.9,48,36.83,35,VGK
37.53,33,36.3,37,NJD
41.44,52,34.92,39,MIN
41.17,49,34.62,37,FLA
34.35,39,33.45,37,BOS
41.86,53,33.07,33,MTL
39.99,42,32.95,39,COL
29.12,28,27.57,27,DAL